pattern,temp_bin,n_line_days,n_lines,temp_c,normalized_transmission_median,normalized_transmission_ci95_low,normalized_transmission_ci95_high
Pattern 1,"(-0.001, 2.0]",1379,42,1.164285727909633,1.0741997179819451,1.0500546532007538,1.1124029766620198
Pattern 1,"(2.0, 4.0]",5750,136,3.282142847776413,1.0014991920594496,1.0,1.009740486791358
Pattern 1,"(4.0, 6.0]",11789,136,5.121428489685059,1.0,1.0,1.0028152067075338
Pattern 1,"(6.0, 8.0]",14450,136,7.021428457328251,1.0024851151700633,1.000039422200196,1.0062957629860976
Pattern 1,"(8.0, 10.0]",14108,136,9.007143020629883,1.0,1.0,1.0
Pattern 1,"(10.0, 12.0]",12914,136,11.007142884390692,1.0,1.0,1.0
Pattern 1,"(12.0, 14.0]",12587,136,13.071428298950195,0.9882550634805407,0.9840887695959707,0.9929278992637702
Pattern 1,"(14.0, 16.0]",14594,136,14.992857115609306,0.9949241403583448,0.9901458656258776,0.9979500821574168
Pattern 1,"(16.0, 18.0]",16314,136,17.00714315686907,0.9755166718002346,0.9695627950620179,0.9826952677717847
Pattern 1,"(18.0, 20.0]",15220,136,18.964285441807338,0.9498787175305334,0.9437323977926493,0.9557516933994077
Pattern 1,"(20.0, 22.0]",13135,136,20.97857121058873,0.9925821747834997,0.9860290411581493,0.9970920235736577
Pattern 1,"(22.0, 24.0]",13035,136,22.992857251848495,1.0,1.0,1.0
Pattern 1,"(24.0, 26.0]",16678,136,25.042856761387416,1.0,1.0,1.0
Pattern 1,"(26.0, 28.0]",12968,136,26.91428538731166,1.0628238758529385,1.053240791812895,1.0693859975908249
Pattern 1,"(28.0, 30.0]",9483,134,28.928571156093053,1.1369127702711652,1.1253721648624748,1.1490423254095095
Pattern 1,"(30.0, 32.0]",5653,119,30.814285005841935,1.2002360423068372,1.1819711187876782,1.2155089032743063
Pattern 2,"(-0.001, 2.0]",367,22,1.6071428912026542,1.403918411164788,1.2816043193212494,1.6250540032997367
Pattern 2,"(2.0, 4.0]",3115,160,3.3214286225182668,1.2728267397318522,1.24770446698786,1.3043658282487252
Pattern 2,"(4.0, 6.0]",12980,160,5.0642856529780795,1.1892745429578548,1.1795029133461608,1.1977322688881176
Pattern 2,"(6.0, 8.0]",17208,160,7.064285755157471,1.0666857744913045,1.0582676587013597,1.0750310660072349
Pattern 2,"(8.0, 10.0]",16596,160,9.02857153756278,1.0072495564293318,1.0014109146453216,1.0130940980851992
Pattern 2,"(10.0, 12.0]",15378,160,11.085714340209961,0.9930357387555403,0.9864913956962241,0.9982975727918421
Pattern 2,"(12.0, 14.0]",13889,160,13.035714285714286,0.8964008979561726,0.8896682002181251,0.902999819396706
Pattern 2,"(14.0, 16.0]",15935,160,14.97142859867641,0.8579374540239465,0.8525732431168475,0.8635343074958027
Pattern 2,"(16.0, 18.0]",18293,160,17.007143020629883,0.85796976908361,0.8530403182374044,0.8633629848145283
Pattern 2,"(18.0, 20.0]",19471,160,18.949999945504324,0.8665141754037969,0.861725481834738,0.8709940677018104
Pattern 2,"(20.0, 22.0]",15154,160,20.907142911638534,0.8730536273724712,0.8677918354244115,0.8778822252128744
Pattern 2,"(22.0, 24.0]",14258,160,22.999999727521622,0.9586143856558469,0.9503757258210568,0.9653969048932833
Pattern 2,"(24.0, 26.0]",18316,160,25.16428538731166,1.0367978562965179,1.02887407445227,1.0438280925023302
Pattern 2,"(26.0, 28.0]",18603,160,26.942856652396067,1.296322470690074,1.2863794504904131,1.3060834359921667
Pattern 2,"(28.0, 30.0]",12382,159,29.021427699497767,1.760883596509825,1.748067011164763,1.7767976179197194
Pattern 2,"(30.0, 32.0]",9818,157,30.857142857142858,2.1908371832533486,2.171130891874563,2.2079484448373776
Pattern 3,"(-0.001, 2.0]",286,6,1.0892856929983412,3.0969597076034057,2.7054737193846843,3.4894854383946523
Pattern 3,"(2.0, 4.0]",707,11,3.142857108797346,2.8381105566085556,2.7186810132970116,2.955572078353274
Pattern 3,"(4.0, 6.0]",1073,11,5.114285707473755,2.4127721887705027,2.2367447821133237,2.5761800627828197
Pattern 3,"(6.0, 8.0]",1109,11,7.042857306344168,2.079837910553269,1.9240800711064725,2.240587401005722
Pattern 3,"(8.0, 10.0]",1101,11,8.950000013623919,1.744000190690293,1.4727991707399388,1.9507395200950906
Pattern 3,"(10.0, 12.0]",1040,11,11.007142680031912,1.044389207475485,1.0,1.2554256432069586
Pattern 3,"(12.0, 14.0]",1150,11,13.078571455819267,0.8446115239690721,0.7294251447028176,0.9904172941230011
Pattern 3,"(14.0, 16.0]",1289,11,14.964285714285714,0.9740633077509002,0.8762562857262433,1.0
Pattern 3,"(16.0, 18.0]",1238,11,16.98928587777274,0.6105782678222285,0.5007248735333245,0.6652780558179757
Pattern 3,"(18.0, 20.0]",1175,11,18.978571483067103,0.5325655021771386,0.4997707193738543,0.6629325716232897
Pattern 3,"(20.0, 22.0]",1170,11,20.985714231218612,0.6247572402019337,0.5009320723601443,0.7668527296415529
Pattern 3,"(22.0, 24.0]",1203,11,23.02857153756278,0.7232836823610869,0.6095840536823539,0.8377300865217924
Pattern 3,"(24.0, 26.0]",1214,11,25.035714558192662,0.9071169605557072,0.7697228487556003,1.0
Pattern 3,"(26.0, 28.0]",881,11,26.89285687037877,1.0,0.8792124005104527,1.0
Pattern 3,"(28.0, 30.0]",503,10,28.89285741533552,1.4339841712043204,1.3112696364629213,1.6833962920024357
Pattern 3,"(30.0, 32.0]",268,7,30.82142870766776,2.466681955563161,2.2498972802478674,2.6586224570435726
